id,case_id,tag_id
30550,49,42
30559,51,9
30560,51,2
30771,569,40
30772,569,12
30773,569,46
30774,569,18
30775,569,56
31677,709,56
30776,569,27
31679,709,18
31681,709,30
31774,736,64
31776,736,10
31778,736,55
34389,52,32
32651,907,64
32652,907,18
32653,907,23
32766,931,2
32767,931,55
32768,931,4
31845,967,4
31846,967,21
31848,967,28
32769,931,65
31895,984,64
31896,984,43
5924,799,18
32956,231,42
31897,984,28
34391,52,2
32958,231,20
34392,52,37
32959,231,55
34393,52,38
34394,52,65
34395,52,59
34496,1145,56
34497,1145,64
34498,1145,18
5926,799,20
5927,799,21
34620,93,56
34622,93,10
34718,788,24
34719,788,32
34720,788,2
34721,788,43
31969,950,40
31970,950,13
31971,950,46
33179,1088,2
31973,950,55
34722,788,65
34812,178,39
34916,682,32
32027,750,2
34918,682,3
34919,682,4
32028,750,4
32029,750,13
34921,682,10
34923,682,18
34924,682,19
32030,750,20
34925,682,24
35027,776,24
32031,750,55
32032,750,28
35029,776,2
35030,776,59
35031,776,46
28762,718,20
28763,718,13
3472,275,10
29886,453,38
29887,453,40
29888,453,10
29889,453,19
29890,453,55
29975,1067,32
29977,1067,20
29978,1067,46
30146,1047,3
28883,141,40
28885,141,4
28886,141,45
28887,141,55
28945,213,37
28946,213,65
28994,474,2
30148,1047,59
30149,1047,23
30295,310,2
30296,310,4
30297,310,65
30298,310,9
30299,310,24
30369,471,46
30370,471,39
30409,151,21
30410,151,55
30445,786,32
30446,786,65
30447,786,55
30483,775,64
30485,775,10
3579,769,8
3581,769,4
3582,769,13
30487,775,42
3587,153,4
31683,710,2
31684,710,65
29051,499,2
29052,499,9
29053,499,13
29054,499,55
32770,932,40
30898,592,2
31685,710,9
30899,592,3
31686,710,55
31687,710,59
31779,737,58
31781,737,20
31782,737,13
3349,34,2
32772,932,4
30901,592,13
30902,592,55
30903,592,59
32773,932,65
32864,924,64
32865,924,18
32866,924,19
32868,924,23
32960,326,23
31898,983,32
31899,983,10
34397,519,18
34398,519,65
32962,326,18
32963,326,19
32964,326,55
33080,842,3
4238,235,20
4256,278,18
4257,278,23
33082,842,38
31082,640,28
4794,436,10
4795,436,20
3350,34,13
34501,120,2
34502,120,28
33636,806,23
33084,842,18
33085,842,20
33086,842,56
33087,842,58
33180,65,64
31901,983,18
33182,65,2
33637,806,65
33745,281,56
33184,65,43
33747,281,10
33185,65,59
28889,362,2
28891,362,46
33748,281,18
33861,971,2
33862,971,55
3414,760,10
3415,760,18
3416,760,20
3432,485,2
28892,362,55
28893,362,59
34077,50,64
34078,50,65
34079,50,2
28949,509,65
28950,509,55
34080,50,3
28951,509,18
28952,509,23
28996,474,10
28997,474,18
28998,474,42
29374,164,8
29376,164,40
29377,164,13
29378,164,55
29453,227,24
29455,227,2
29456,227,38
29676,217,20
29677,217,55
29736,510,23
29796,307,32
29797,307,18
29798,307,19
29799,307,23
34399,511,32
34400,511,56
34402,511,30
34403,511,65
34503,120,55
34625,862,55
34626,862,65
34723,817,24
32774,1125,32
32869,563,56
34724,817,40
34725,817,3
34726,817,39
34727,817,65
34813,341,32
34815,341,38
34816,341,40
34817,341,10
34818,341,46
34926,701,24
34928,701,4
34929,701,65
3829,479,9
33864,981,2
33865,981,9
29055,421,56
33866,981,42
33186,729,9
33187,729,2
33188,729,59
33189,729,65
33867,981,18
29058,421,30
33868,981,55
33869,981,28
33968,785,18
33969,785,19
33970,785,20
33971,785,38
28826,733,32
29979,47,8
34081,50,4
34082,50,9
29981,47,27
29982,47,13
29222,1123,32
34083,50,43
29983,47,55
34084,50,50
28827,733,2
28828,733,4
28830,733,13
34187,1076,32
34189,1076,4
34190,1076,46
28831,733,55
34191,1076,40
30224,210,65
30225,210,42
30226,210,50
29224,1123,18
34286,858,32
34288,858,18
34289,858,19
34290,858,39
30228,210,55
30371,805,18
28832,733,28
29458,167,55
31317,1036,2
31318,1036,4
31320,1036,13
31321,1036,55
28894,228,64
28896,228,2
28897,228,3
28898,228,9
29459,167,28
29460,167,65
29533,1086,32
29535,1086,35
30372,805,19
31384,1021,2
31386,1021,13
31387,1021,55
28953,245,24
29678,349,24
28955,245,2
28956,245,3
28957,245,65
29680,349,2
29737,251,24
29739,251,10
31492,997,24
31494,997,18
31598,933,27
31599,933,12
31600,933,39
30790,572,4
34405,498,2
34406,498,9
34407,498,55
34505,135,2
34506,135,42
34507,135,9
32776,936,64
29059,205,24
29061,205,2
29062,205,59
29063,205,9
34627,833,64
32778,936,42
32779,936,43
32780,936,18
32781,936,19
34629,833,21
34630,833,65
3444,723,32
33757,295,46
32783,936,28
34728,856,64
34730,856,2
34731,856,18
34820,240,2
34821,240,59
32969,840,23
28770,224,32
28771,224,9
34822,240,9
3446,723,4
29984,1066,32
32970,840,65
29986,1066,46
30792,572,55
34823,240,55
28772,224,2
3448,723,10
28774,224,20
28833,129,32
31003,620,64
28834,129,10
28835,129,43
31005,620,2
28837,129,19
28838,129,20
28901,382,58
33191,293,28
28903,382,46
33192,293,65
30075,465,2
30076,465,4
30077,465,13
31007,620,44
31008,620,18
31087,642,32
